🥎	2195
🏀	2195
🏐	2195
🏈	6880
🏉	2195
🎾	2195
🥏	6957
🎳	2195
🏏	6957
🏑	1059
🏒	1652
🥍	2195
🏸	6957
🥊	7594
🥋	3837
🥅	7075
⛳	3462
⛸️	1652
🎣	904
🤿	10207
🎽	2494
🎯	4700
🪀	6957
🪁	1392
🔫	10207
🎱	6957
🔮	5816
🪄	1633
🎮	68175
🕹️	6957
🎰	6957
🎲	6957
🧩	59965
🧸	2197
🪅	15632
🪩	2658
🪆	9010
♠️	123
♥️	3638
♦️	123
♣️	2952
♟️	6957
🃏	298
🀄	6957
🎴	6957
🎭	11916
🖼️	20160
🎨	4970
🧵	3510
🪡	131
🧶	1483
🪢	12242
👓	16279
🕶️	6341
🥽	1037
🥼	8045
🦺	9461
👔	25026
👕	3510
👖	833
🧣	2809
🧤	12115
🧥	1219
🧦	2809
👗	16606
👘	4687
🥻	4687
🩱	172
🩲	5287
🩳	833
👙	1830
👚	16606
🪭	2654
👛	1999
👜	16606
👝	11469
🛍️	39468
🎒	90392
🩴	379
👞	3811
👟	2494
🥾	3022
🥿	16606
👠	39468
👡	293
🩰	2658
👢	1161
🪮	42
👑	30986
👒	7740
🎩	2386
🎓	9796
🧢	2494
🪖	22924
⛑️	9461
📿	1496
💄	16606
💍	9597
💎	6248
🔇	5807
🔈	5917
🔉	28154
🔊	14873
📢	5807
📣	6341
📯	835
🔔	25187
🔕	966
🎼	20976
🎵	20976
🎶	26984
🎙️	5807
🎚️	5807
🎛️	5807
🎤	20976
🎧	68175
📻	26984
🎷	791
🪗	4687
🎸	7594
🎹	2053
🎺	1268
🎻	20976
🪕	253
🥁	3511
🪘	1227
🪇	3686
🪈	214
📱	11469
📲	966
☎️	19492
📞	1404
📟	19492
📠	19492
🔋	5153
🪫	824
🔌	3510
💻	11404
🖥️	68175
🖨️	2372
⌨️	3446
🖱️	938
💽	6940
💾	19492
💿	9309
📀	26984
🧮	19492
🎥	68175
🎞️	20945
📽️	20945
🎬	68175
📺	68175
📷	19492
📸	68175
📹	4677
📼	20945
🔍	10777
🔎	738
🕯️	43659
💡	5945
🔦	547
🏮	19492
🪔	1297
📔	16279
📕	25187
📖	23801
📗	16279
📘	16279
📙	16279
📚	70223
📓	4537
📒	16279
📃	3182
📜	19492
📄	6703
📰	39468
🗞️	39468
📑	9796
🔖	16279
🏷️	2634
💰	4998
🪙	1999
💴	2654
💵	6880
💶	5319
💷	3165
💸	2634
💳	1032
🧾	1032
💹	5365
✉️	4540
📧	4540
📨	9032
📩	4540
📤	608
📥	4221
📦	5101
📫	5343
📪	4540
📬	5343
📭	5343
📮	4540
🗳️	15793
✏️	3446
✒️	8943
🖋️	10207
🖊️	3446
🖌️	3801
🖍️	235
📝	25187
💼	12491
📁	3182
📂	5343
🗂️	3182
📅	15632
📆	15632
🗒️	4537
🗓️	3137
📇	608
📈	68175
📉	11469
📊	10561
📋	4743
📌	37744
📍	37744
📎	1229
🖇️	12242
📏	25187
📐	25187
✂️	8199
🗃️	1307
🗄️	2372
🗑️	3510
🔒	4756
🔓	12451
🔐	4756
🔑	19344
🗝️	19492
🔨	11404
🪓	7944
⛏️	646
⚒️	11404
🛠️	11404
🗡️	85
⚔️	70223
💣	862
🏹	4700
🛡️	30986
🪚	2668
🔧	4743
🪛	11469
🔩	1659
⚙️	2893
🗜️	4247
⚖️	16662
🦯	8045
🔗	12242
⛓️	12451
🪝	352
🧰	11404
🧲	6056
🪜	13215
⚗️	681
🧪	444
🧬	834
🔭	884
📡	12242
💉	19579
🩸	4039
💊	1193
🩹	5657
🩼	128
🩺	4522
🩻	4522
🚪	10777
🛗	1037
🪞	68175
🪟	4153
🛏️	4153
🛋️	68175
🪑	2372
🚽	3873
🪠	310
🚿	5153
🛁	5153
🪤	161
🪒	155
🧴	737
🧷	6315
🧹	1724
🧺	16716
🧻	124
🪣	5153
🧼	20936
🫧	5153
🪥	493
